,date,agency,location,description
9,2-3-2022 8:01 PM,Wilmington Police,500 BLOCK TWENTY FIFTH ST,DAMAGE/PRIVATE PROPERTY
10,2-3-2022 7:08 PM,Wilmington Police,1300 BLOCK S 27TH ST,CARRYING PROHIBITED
11,2-3-2022 6:07 PM,Wilmington Police,000 BLOCK SE THIRTY SEVENTH ST,"ROBBERY/CARJACKING/STRONG-ARM HIGHWAY,STREET,ALLEY"
12,2-3-2022 4:55 PM,Delaware State Police,3200 BLOCK E KIRKWOOD HWY,LARCENY/SHOPLIFTING
13,2-3-2022 3:59 PM,Delaware State Police,2100 BLOCK E KIRKWOOD HWY,LARCENY/SHOPLIFTING
14,2-3-2022 3:27 PM,Wilmington Police,600 BLOCK E. EIGHTH ST,LARCENY/FROM ALL OTHER YARDS
0,2-3-2022 3:15 PM,Wilmington Police,900 BLOCK MARKET ST,DAMAGE/PUBLIC PROPERTY
1,2-3-2022 2:42 PM,Wilmington Police,800 BLOCK N. VANBUREN ST,IMPERSONATION
2,2-3-2022 12:14 PM,Wilmington Police,ON W. TWENTY-FOURTH STREET 95.73 FEET SOUTH EAST FROM BROO,DRIVING UNDER THE INFLUENCE/DRUGS
3,2-3-2022 10:11 AM,Wilmington Police,200 BLOCK 25TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
4,2-3-2022 8:21 AM,Wilmington Police,1600 BLOCK JESSUP ST,BURGLARY/NO FORCED ENTRY/NONRESIDENCE
5,2-3-2022 1:00 AM,Wilmington Police,400 BLOCK 7TH AVE,DAMAGE/PRIVATE PROPERTY
6,2-2-2022 9:27 PM,Wilmington Police,500 BLOCK BUTTONWOOD ST,DAMAGE/PRIVATE PROPERTY
7,2-2-2022 9:15 PM,Wilmington Police,100 BLOCK 29TH ST,CARRYING PROHIBITED
8,2-2-2022 9:02 PM,Wilmington Police,100 BLOCK TOWNE ESTATES DR,LARCENY/FROM ALL OTHER YARDS
9,2-2-2022 8:05 PM,Delaware State Police,1300 BLOCK NW CENTERVILLE RD,LARCENY/FROM BUILDING
10,2-2-2022 5:53 PM,Wilmington Police,600 BLOCK N 6TH ST,ROBBERY/CARJACKING/KNIFE RESIDENCE
11,2-2-2022 5:00 PM,Wilmington Police,1300 BLOCK S UNION ST,LARCENY/SHOPLIFTING
12,2-2-2022 4:42 PM,Wilmington Police,200 BLOCK MILL RD,LARCENY/FROM ALL OTHER YARDS
13,2-2-2022 4:15 PM,Wilmington Police,100 BLOCK MILL RD,LARCENY/FROM ALL OTHER YARDS
14,2-2-2022 4:00 PM,Wilmington Police,300 BLOCK N 29TH ST,BURGLARY/NO FORCED ENTRY/RESIDENCE
0,2-2-2022 3:46 PM,Wilmington Police,100 BLOCK SW RODNEY ST,BURGLARY/NO FORCED ENTRY/NONRESIDENCE
1,2-2-2022 3:00 PM,Wilmington Police,700 BLOCK S SHIPLEY ST,LARCENY/FROM ALL OTHER YARDS
2,2-2-2022 1:48 PM,Wilmington Police,100 BLOCK CHRISTIANA LNDG,DAMAGE/PRIVATE PROPERTY
3,2-2-2022 1:15 PM,Wilmington Police,200 BLOCK DELAWARE AVE,DAMAGE/BUSINESS PROPERTY
4,2-2-2022 1:12 PM,Wilmington Police,400 BLOCK PINE ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
5,2-2-2022 12:05 PM,Wilmington Police,200 BLOCK NW 34TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
6,2-2-2022 11:00 AM,Wilmington Police,900 BLOCK NE ORANGE ST,LARCENY/FROM ALL OTHER YARDS
7,2-2-2022 10:30 AM,Wilmington Police,500 BLOCK TERMINAL AVE,LARCENY/FROM ALL OTHER YARDS
8,2-2-2022 8:31 AM,Wilmington Police,2800 BLOCK N BAYNARD BLVD,DAMAGE/BUSINESS PROPERTY
9,2-2-2022 7:41 AM,Wilmington Police,3100 BLOCK JEFFERSON ST,DAMAGE/PRIVATE PROPERTY
10,2-1-2022 11:50 PM,Wilmington Police,1800 BLOCK SE FOURTH ST,CARRYING A CONCEALED DEADLY WEAPON/DEADLY INSTRUMENT/CCDW/CCDI
11,2-1-2022 9:15 PM,Wilmington Police,4300 BLOCK MILLER RD,VEHICLE THEFT
12,2-1-2022 6:15 PM,Wilmington Police,900 BLOCK SW N. MARKET ST,HARASSING COMMUNICATION/PHONE/WIRE/MAIL ONLY
13,2-1-2022 5:00 PM,Wilmington Police,200 BLOCK N GREENHILL AVE,FRAUD/ILLEGAL USE OF CREDIT CARDS
14,2-1-2022 4:56 PM,Delaware State Police,3200 BLOCK W KIRKWOOD HWY,LARCENY/SHOPLIFTING
0,2-1-2022 4:38 PM,Wilmington Police,2000 BLOCK WASHINGTON ST,IMPERSONATION
1,2-1-2022 4:32 PM,Wilmington Police,500 BLOCK S 7TH ST,BURGLARY/NO FORCED ENTRY/RESIDENCE
2,2-1-2022 4:07 PM,Delaware State Police,2100 BLOCK E KIRKWOOD HWY,LARCENY/SHOPLIFTING
3,2-1-2022 2:26 PM,Delaware State Police,1700 BLOCK W AUGUSTINE,LARCENY/FROM BUILDING
4,2-1-2022 2:12 PM,Wilmington Police,100 BLOCK MILL RD,LARCENY/FROM ALL OTHER YARDS
5,2-1-2022 2:06 PM,Wilmington Police,1100 BLOCK SW VANBUREN ST,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
6,2-1-2022 1:39 PM,Delaware State Police,1000 BLOCK N NEW CASTLE AVE,"ROBBERY/CARJACKING/STRONG-ARM HIGHWAY,STREET,ALLEY"
7,2-1-2022 12:20 PM,Delaware State Police,3200 BLOCK KIRKWOOD HWY,LARCENY/SHOPLIFTING
8,2-1-2022 12:00 PM,Wilmington Police,200 BLOCK MILL RD,LARCENY/FROM BUILDING
9,2-1-2022 11:33 AM,Wilmington Police,1200 BLOCK C ST,LARCENY/FROM ALL OTHER YARDS
10,2-1-2022 11:07 AM,Wilmington Police,700 BLOCK CONCORD AVE,ROBBERY/CARJACKING/STRONG-ARM CONVENIENCE STORE
11,2-1-2022 10:52 AM,Wilmington Police,100 BLOCK MILL RD,LARCENY/FROM BUILDING
12,2-1-2022 9:47 AM,Delaware State Police,1200 BLOCK NW CENTERVILLE RD,LARCENY/FROM BUILDING
13,2-1-2022 9:08 AM,Wilmington Police,1800 BLOCK S PROSPECT RD,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
14,2-1-2022 8:46 AM,Wilmington Police,300 BLOCK 32ND ST,BURGLARY/FORCED ENTRY/RESIDENCE
0,2-1-2022 8:05 AM,Wilmington Police,200 BLOCK S HEALD ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
1,2-1-2022 6:54 AM,Wilmington Police,800 BLOCK 20TH ST,BURGLARY/NO FORCED ENTRY/RESIDENCE
0,2-8-2022 11:49 PM,Wilmington Police,800 BLOCK 4TH ST,LARCENY/SHOPLIFTING
1,2-8-2022 8:35 PM,Delaware State Police,VIETNAM VETERANS MEMORIAL W HWY & DUPONT PKY,IMPERSONATION
2,2-8-2022 8:09 PM,Wilmington Police,600 BLOCK S WASHINGTON ST,AGGRAVATED ASSAULT/NON-FAMILY OTHER DANGEROUS WEAPON
3,2-8-2022 6:55 PM,Delaware State Police,4400 BLOCK SE LANCASTER PIKE,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
4,2-8-2022 6:52 PM,Wilmington Police,ON FOURTH STREET SR9 AT THE INTERSECTION OF N. SCOTT STREET,DRIVING UNDER THE INFLUENCE/DRUGS
5,2-8-2022 6:49 PM,Wilmington Police,200 BLOCK WEST ST,LARCENY/FROM VEHICLE/NOT ATTACHED
6,2-8-2022 5:59 PM,Wilmington Police,ON WESTBOUND LANCASTER PIKE 18.24 FEET NORTH WEST FROM JAC,DRIVING UNDER THE INFLUENCE/LIQUOR
7,2-8-2022 5:53 PM,Wilmington Police,2900 BLOCK PINE ST,VEHICLE THEFT LOCALLY STOLEN-RECOVERED OTHER
8,2-8-2022 5:13 PM,Wilmington Police,900 BLOCK SPRUCE ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
9,2-8-2022 4:11 PM,Delaware State Police,3200 BLOCK W KIRKWOOD HWY,LARCENY/SHOPLIFTING
10,2-8-2022 1:41 PM,Wilmington Police,3000 BLOCK N WEST ST,VEHICLE THEFT
11,2-8-2022 1:38 PM,Wilmington Police,1300 BLOCK UNION ST,LARCENY/SHOPLIFTING
12,2-8-2022 1:34 PM,Wilmington Police,600 BLOCK SW KING ST,LARCENY/FROM BUILDING
13,2-8-2022 12:48 PM,Wilmington Police,2700 BLOCK SPEAKMAN PL,BURGLARY/FORCED ENTRY/RESIDENCE
14,2-8-2022 12:10 PM,Wilmington Police,500 BLOCK 12TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
0,2-8-2022 11:58 AM,Wilmington Police,1300 BLOCK UNION ST,LARCENY/SHOPLIFTING
1,2-8-2022 11:30 AM,Wilmington Police,1300 BLOCK S 29TH ST,CARRYING PROHIBITED
2,2-8-2022 11:02 AM,Delaware State Police,800 BLOCK DELMARVA LA,DAMAGE/BUSINESS PROPERTY
3,2-8-2022 11:00 AM,Wilmington Police,2700 BLOCK 3RD ST,BURGLARY/NO FORCED ENTRY/RESIDENCE
4,2-8-2022 10:23 AM,Delaware State Police,200 BLOCK MARYLAND AVE,DAMAGE/PRIVATE PROPERTY
5,2-8-2022 9:34 AM,Wilmington Police,500 BLOCK KING ST,LARCENY/FROM VEHICLE/NOT ATTACHED
6,2-8-2022 8:58 AM,Wilmington Police,000 BLOCK LEA BLVD,DAMAGE/BUSINESS PROPERTY
7,2-8-2022 8:41 AM,Wilmington Police,1000 BLOCK NE FRANKLIN ST,LARCENY/FROM BUILDING
8,2-8-2022 7:58 AM,Wilmington Police,400 BLOCK VAN BUREN ST,BURGLARY/FORCED ENTRY/NONRESIDENCE
9,2-8-2022 7:52 AM,Delaware State Police,900 BLOCK NW CENTRE RD,ENGAGING IN A RIOT
10,2-7-2022 7:41 PM,Wilmington Police,600 BLOCK S BUTTONWOOD ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
11,2-7-2022 6:16 PM,Wilmington Police,1400 BLOCK DUPONT ST,LARCENY/SHOPLIFTING
12,2-7-2022 5:37 PM,Wilmington Police,200 BLOCK 37TH ST,ROBBERY/CARJACKING/GUN HIGHWAY/STREET/ALLEY
13,2-7-2022 4:54 PM,Wilmington Police,2200 BLOCK PINE ST,ROBBERY/CARJACKING/OTHER WEAPON CONVENIENCE STORE
14,2-7-2022 4:49 PM,Wilmington Police,600 BLOCK VAN BUREN ST,FRAUD/ILLEGAL USE OF CREDIT CARDS
0,2-7-2022 3:35 PM,Wilmington Police,300 BLOCK S SHIPLEY ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
1,2-7-2022 3:22 PM,Wilmington Police,300 BLOCK 5TH ST,DAMAGE/PUBLIC PROPERTY
2,2-7-2022 1:25 PM,Wilmington Police,300 BLOCK WOODLAWN AVE,BURGLARY/NO FORCED ENTRY/RESIDENCE
3,2-7-2022 12:48 PM,Wilmington Police,1400 BLOCK S VAN BUREN ST,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
4,2-7-2022 12:18 PM,Wilmington Police,500 BLOCK JACKSON ST,THEFT/BUS/TRUCK LOCALLY RECOVERED
5,2-7-2022 11:45 AM,Wilmington Police,LOMBARD S ST & E. FIFTH ST,DISORDERLY CONDUCT/UNRELATED TO LIQUOR
6,2-7-2022 10:30 AM,Wilmington Police,700 BLOCK WINDSOR ST,DAMAGE/PRIVATE PROPERTY
7,2-7-2022 10:06 AM,Wilmington Police,1700 BLOCK NW DELAWARE AVE,LARCENY/PICKPOCKETING
8,2-7-2022 9:44 AM,Wilmington Police,500 BLOCK 10TH ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
9,2-7-2022 8:27 AM,Wilmington Police,1100 BLOCK SE PLEASANT ST,DAMAGE/PRIVATE PROPERTY
10,2-7-2022 3:26 AM,Wilmington Police,800 BLOCK 22ND ST,LARCENY/FROM VEHICLE/NOT ATTACHED
11,2-6-2022 11:18 PM,Wilmington Police,900 BLOCK MARKET ST,DAMAGE/PRIVATE PROPERTY
12,2-6-2022 6:00 PM,Wilmington Police,1400 BLOCK S 6TH ST,BURGLARY/NO FORCED ENTRY/RESIDENCE
13,2-6-2022 5:01 PM,Delaware State Police,4000 BLOCK NE DUPONT HWY,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
14,2-6-2022 4:14 PM,Wilmington Police,3500 BLOCK MARKET ST,LARCENY/SHOPLIFTING
0,2-6-2022 4:00 PM,Wilmington Police,1200 BLOCK PEACH ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
1,2-6-2022 12:16 PM,Wilmington Police,900 BLOCK S WRIGHT ST,LARCENY/FROM VEHICLE/NOT ATTACHED
2,2-6-2022 12:03 PM,Wilmington Police,1400 BLOCK CLINTON ST,FRAUD/ILLEGAL USE OF CREDIT CARDS
3,2-6-2022 10:58 AM,Delaware State Police,000 BLOCK MONTCHANIN RD,FRAUD/ILLEGAL USE OF CREDIT CARDS
4,2-6-2022 10:45 AM,Wilmington Police,1400 BLOCK N 7TH ST,BURGLARY/FORCED ENTRY/RESIDENCE
5,2-6-2022 8:23 AM,Delaware State Police,3500 BLOCK MILLER RD,LARCENY/SHOPLIFTING
6,2-5-2022 10:30 PM,Wilmington Police,400 BLOCK N MADISON ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
7,2-5-2022 6:08 PM,Delaware State Police,3800 BLOCK SW MARKET ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
8,2-5-2022 5:26 PM,Wilmington Police,1800 BLOCK 4TH ST,CARRYING PROHIBITED
9,2-5-2022 3:24 PM,Delaware State Police,400 BLOCK SW MARYLAND AVE,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
10,2-5-2022 2:06 PM,Wilmington Police,1000 BLOCK S 7TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
11,2-5-2022 1:51 PM,Delaware State Police,1200 BLOCK CENTERVILLE RD,LARCENY/SHOPLIFTING
12,2-5-2022 1:43 PM,Wilmington Police,1600 BLOCK CHESTNUT ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
13,2-5-2022 1:09 PM,Wilmington Police,14TH / BROOM N ST & N. BROOM ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
14,2-5-2022 12:46 PM,Wilmington Police,NTROLLEY SQ,LARCENY/SHOPLIFTING
0,2-5-2022 12:07 PM,Wilmington Police,600 BLOCK 23RD ST,FRAUD BY WIRE
1,2-5-2022 12:03 PM,Wilmington Police,1400 BLOCK S FRANKLIN ST,LARCENY/FROM VEHICLE/NOT ATTACHED
2,2-5-2022 8:17 AM,Wilmington Police,2700 BLOCK S 6TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
3,2-5-2022 7:33 AM,Wilmington Police,ON RODNEY STREET AT THE INTERSECTION OF RODNEY STREET AND,DRIVING UNDER THE INFLUENCE
4,2-5-2022 7:24 AM,Wilmington Police,700 BLOCK 7TH ST,VEHICLE THEFT
5,2-5-2022 7:17 AM,Wilmington Police,000 BLOCK CORBIN CT,DAMAGE/PRIVATE PROPERTY
6,2-5-2022 3:32 AM,Wilmington Police,1300 BLOCK 4TH ST,LARCENY/FROM BUILDING
7,2-4-2022 10:38 PM,Wilmington Police,9TH / ORANGE N ST & W. NINTH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
8,2-4-2022 8:00 PM,Wilmington Police,1300 BLOCK SE CHESTNUT ST,CARRYING PROHIBITED
9,2-4-2022 7:09 PM,Wilmington Police,1200 BLOCK PEACH ST,"ROBBERY/CARJACKING/STRONG-ARM HIGHWAY,STREET,ALLEY"
10,2-4-2022 6:58 PM,Wilmington Police,100 BLOCK MILL RD,LARCENY/FROM BUILDING
11,2-4-2022 6:23 PM,Wilmington Police,1400 BLOCK RODNEY ST,LARCENY/FROM VEHICLE/NOT ATTACHED
12,2-4-2022 3:37 PM,Wilmington Police,300 BLOCK S BROOM ST,"ROBBERY/CARJACKING/STRONG-ARM HIGHWAY,STREET,ALLEY"
13,2-4-2022 3:32 PM,Wilmington Police,200 BLOCK 39TH ST,"ROBBERY/CARJACKING/STRONG-ARM HIGHWAY,STREET,ALLEY"
14,2-4-2022 2:47 PM,Wilmington Police,3100 BLOCK JEFFERSON ST,"ROBBERY/CARJACKING/STRONG-ARM HIGHWAY,STREET,ALLEY"
0,2-4-2022 1:08 PM,Wilmington Police,1200 BLOCK ORANGE ST,LARCENY/FROM VEHICLE/NOT ATTACHED
1,2-4-2022 12:30 PM,Wilmington Police,300 BLOCK 30TH ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
2,2-4-2022 12:00 PM,Wilmington Police,300 BLOCK 4TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
3,2-4-2022 11:18 AM,Delaware State Police,100 BLOCK HAY RD,DAMAGE/BUSINESS PROPERTY
4,2-4-2022 10:08 AM,Wilmington Police,000 BLOCK LEA BLVD,DAMAGE/BUSINESS PROPERTY
5,2-4-2022 9:24 AM,Wilmington Police,200 BLOCK 19TH ST,BURGLARY/NO FORCED ENTRY/RESIDENCE
6,2-4-2022 5:23 AM,Delaware State Police,4000 BLOCK NE DUPONT PKY,LARCENY/FROM BUILDING
7,2-4-2022 2:44 AM,Wilmington Police,1200 BLOCK SE EIGHTH ST,DISORDERLY CONDUCT/LIQUOR INVOLVEMENT
8,2-3-2022 9:32 PM,Wilmington Police,200 BLOCK MILL RD,LARCENY/FROM BUILDING
9,2-3-2022 8:01 PM,Wilmington Police,500 BLOCK TWENTY FIFTH ST,DAMAGE/PRIVATE PROPERTY
10,2-3-2022 7:08 PM,Wilmington Police,1300 BLOCK S 27TH ST,CARRYING PROHIBITED
11,2-3-2022 6:07 PM,Wilmington Police,000 BLOCK SE THIRTY SEVENTH ST,"ROBBERY/CARJACKING/STRONG-ARM HIGHWAY,STREET,ALLEY"
12,2-3-2022 4:55 PM,Delaware State Police,3200 BLOCK E KIRKWOOD HWY,LARCENY/SHOPLIFTING
13,2-3-2022 3:59 PM,Delaware State Police,2100 BLOCK E KIRKWOOD HWY,LARCENY/SHOPLIFTING
14,2-3-2022 3:27 PM,Wilmington Police,600 BLOCK E. EIGHTH ST,LARCENY/FROM ALL OTHER YARDS
0,2-3-2022 3:15 PM,Wilmington Police,900 BLOCK MARKET ST,DAMAGE/PUBLIC PROPERTY
1,2-3-2022 2:42 PM,Wilmington Police,800 BLOCK N. VANBUREN ST,IMPERSONATION
2,2-3-2022 12:14 PM,Wilmington Police,ON W. TWENTY-FOURTH STREET 95.73 FEET SOUTH EAST FROM BROO,DRIVING UNDER THE INFLUENCE/DRUGS
3,2-3-2022 10:11 AM,Wilmington Police,200 BLOCK 25TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
4,2-3-2022 8:21 AM,Wilmington Police,1600 BLOCK JESSUP ST,BURGLARY/NO FORCED ENTRY/NONRESIDENCE
5,2-3-2022 1:00 AM,Wilmington Police,400 BLOCK 7TH AVE,DAMAGE/PRIVATE PROPERTY
6,2-2-2022 9:27 PM,Wilmington Police,500 BLOCK BUTTONWOOD ST,DAMAGE/PRIVATE PROPERTY
7,2-2-2022 9:15 PM,Wilmington Police,100 BLOCK 29TH ST,CARRYING PROHIBITED
8,2-2-2022 9:02 PM,Wilmington Police,100 BLOCK TOWNE ESTATES DR,LARCENY/FROM ALL OTHER YARDS
9,2-2-2022 8:05 PM,Delaware State Police,1300 BLOCK NW CENTERVILLE RD,LARCENY/FROM BUILDING
10,2-2-2022 5:53 PM,Wilmington Police,600 BLOCK N 6TH ST,ROBBERY/CARJACKING/KNIFE RESIDENCE
11,2-2-2022 5:00 PM,Wilmington Police,1300 BLOCK S UNION ST,LARCENY/SHOPLIFTING
12,2-2-2022 4:42 PM,Wilmington Police,200 BLOCK MILL RD,LARCENY/FROM ALL OTHER YARDS
13,2-2-2022 4:15 PM,Wilmington Police,100 BLOCK MILL RD,LARCENY/FROM ALL OTHER YARDS
14,2-2-2022 4:00 PM,Wilmington Police,300 BLOCK N 29TH ST,BURGLARY/NO FORCED ENTRY/RESIDENCE
0,2-2-2022 3:46 PM,Wilmington Police,100 BLOCK SW RODNEY ST,BURGLARY/NO FORCED ENTRY/NONRESIDENCE
1,2-2-2022 3:00 PM,Wilmington Police,700 BLOCK S SHIPLEY ST,LARCENY/FROM ALL OTHER YARDS
2,2-2-2022 1:48 PM,Wilmington Police,100 BLOCK CHRISTIANA LNDG,DAMAGE/PRIVATE PROPERTY
3,2-2-2022 1:15 PM,Wilmington Police,200 BLOCK DELAWARE AVE,DAMAGE/BUSINESS PROPERTY
4,2-2-2022 1:12 PM,Wilmington Police,400 BLOCK PINE ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
5,2-2-2022 12:05 PM,Wilmington Police,200 BLOCK NW 34TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
6,2-2-2022 11:00 AM,Wilmington Police,900 BLOCK NE ORANGE ST,LARCENY/FROM ALL OTHER YARDS
7,2-2-2022 10:30 AM,Wilmington Police,500 BLOCK TERMINAL AVE,LARCENY/FROM ALL OTHER YARDS
8,2-2-2022 8:31 AM,Wilmington Police,2800 BLOCK N BAYNARD BLVD,DAMAGE/BUSINESS PROPERTY
9,2-2-2022 7:41 AM,Wilmington Police,3100 BLOCK JEFFERSON ST,DAMAGE/PRIVATE PROPERTY
10,2-1-2022 11:50 PM,Wilmington Police,1800 BLOCK SE FOURTH ST,CARRYING A CONCEALED DEADLY WEAPON/DEADLY INSTRUMENT/CCDW/CCDI
11,2-1-2022 9:15 PM,Wilmington Police,4300 BLOCK MILLER RD,VEHICLE THEFT
12,2-1-2022 6:15 PM,Wilmington Police,900 BLOCK SW N. MARKET ST,HARASSING COMMUNICATION/PHONE/WIRE/MAIL ONLY
13,2-1-2022 5:00 PM,Wilmington Police,200 BLOCK N GREENHILL AVE,FRAUD/ILLEGAL USE OF CREDIT CARDS
14,2-1-2022 4:56 PM,Delaware State Police,3200 BLOCK W KIRKWOOD HWY,LARCENY/SHOPLIFTING
0,2-1-2022 4:38 PM,Wilmington Police,2000 BLOCK WASHINGTON ST,IMPERSONATION
1,2-1-2022 4:32 PM,Wilmington Police,500 BLOCK S 7TH ST,BURGLARY/NO FORCED ENTRY/RESIDENCE
2,2-1-2022 4:07 PM,Delaware State Police,2100 BLOCK E KIRKWOOD HWY,LARCENY/SHOPLIFTING
3,2-1-2022 2:26 PM,Delaware State Police,1700 BLOCK W AUGUSTINE,LARCENY/FROM BUILDING
4,2-1-2022 2:12 PM,Wilmington Police,100 BLOCK MILL RD,LARCENY/FROM ALL OTHER YARDS
5,2-1-2022 2:06 PM,Wilmington Police,1100 BLOCK SW VANBUREN ST,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
6,2-1-2022 1:39 PM,Delaware State Police,1000 BLOCK N NEW CASTLE AVE,"ROBBERY/CARJACKING/STRONG-ARM HIGHWAY,STREET,ALLEY"
7,2-1-2022 12:20 PM,Delaware State Police,3200 BLOCK KIRKWOOD HWY,LARCENY/SHOPLIFTING
8,2-1-2022 12:00 PM,Wilmington Police,200 BLOCK MILL RD,LARCENY/FROM BUILDING
9,2-1-2022 11:33 AM,Wilmington Police,1200 BLOCK C ST,LARCENY/FROM ALL OTHER YARDS
10,2-1-2022 11:07 AM,Wilmington Police,700 BLOCK CONCORD AVE,ROBBERY/CARJACKING/STRONG-ARM CONVENIENCE STORE
11,2-1-2022 10:52 AM,Wilmington Police,100 BLOCK MILL RD,LARCENY/FROM BUILDING
12,2-1-2022 9:47 AM,Delaware State Police,1200 BLOCK NW CENTERVILLE RD,LARCENY/FROM BUILDING
13,2-1-2022 9:08 AM,Wilmington Police,1800 BLOCK S PROSPECT RD,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
14,2-1-2022 8:46 AM,Wilmington Police,300 BLOCK 32ND ST,BURGLARY/FORCED ENTRY/RESIDENCE
0,2-1-2022 8:05 AM,Wilmington Police,200 BLOCK S HEALD ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
1,2-1-2022 6:54 AM,Wilmington Police,800 BLOCK 20TH ST,BURGLARY/NO FORCED ENTRY/RESIDENCE
0,2-22-2022 8:59 PM,Wilmington Police,2200 BLOCK SW N. WEST ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
1,2-22-2022 5:59 PM,Delaware State Police,3600 BLOCK MILLER RD,LARCENY/SHOPLIFTING
2,2-22-2022 5:59 PM,Delaware State Police,3600 BLOCK MILLER RD,DAMAGE/PUBLIC PROPERTY
3,2-22-2022 4:06 PM,Wilmington Police,400 BLOCK WALNUT ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
4,2-22-2022 3:49 PM,Wilmington Police,2200 BLOCK THATCHER ST,DAMAGE/PRIVATE PROPERTY
5,2-22-2022 3:11 PM,Delaware State Police,1200 BLOCK CENTERVILLE RD,LARCENY/SHOPLIFTING
6,2-22-2022 2:53 PM,Delaware State Police,200 BLOCK MARSH LA,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
7,2-22-2022 12:09 PM,Wilmington Police,500 BLOCK NE WALNUT ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
8,2-22-2022 9:11 AM,Wilmington Police,3700 BLOCK W MARKET ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
9,2-21-2022 9:54 PM,Delaware State Police,1200 BLOCK CENTERVILLE RD,DAMAGE/PRIVATE PROPERTY
10,2-21-2022 8:58 PM,Delaware State Police,1200 BLOCK CENTERVILLE RD,DAMAGE/PRIVATE PROPERTY
11,2-21-2022 7:28 PM,Wilmington Police,900 BLOCK N BENNETT ST,DAMAGE/BUSINESS PROPERTY
12,2-21-2022 7:12 PM,Delaware State Police,3200 BLOCK KIRKWOOD HWY,LARCENY/SHOPLIFTING
13,2-21-2022 6:08 PM,Delaware State Police,3200 BLOCK KIRKWOOD HIGHWAY,DAMAGE/BUSINESS PROPERTY
14,2-21-2022 5:00 PM,Wilmington Police,200 BLOCK N 2ND ST,FORCIBLE PURSE SNATCH STREET/ALLEY/HIGHWAY
0,2-21-2022 4:41 PM,Wilmington Police,100 BLOCK JACKSON ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
1,2-21-2022 4:25 PM,Wilmington Police,3500 BLOCK S MARKET ST,LARCENY/FROM BUILDING
2,2-21-2022 2:32 PM,Wilmington Police,700 BLOCK WARNER ST,HOMICIDE - WILLFUL KILL - NON-FAMILY - GUN
3,2-21-2022 1:20 PM,Delaware State Police,3200 BLOCK KIRKWOOD HWY,LARCENY/SHOPLIFTING
4,2-21-2022 12:15 PM,Wilmington Police,1300 BLOCK NW BANNING ST,DAMAGE/PRIVATE PROPERTY
5,2-21-2022 12:10 PM,Wilmington Police,800 BLOCK N MARKET ST,LARCENY/SHOPLIFTING
6,2-21-2022 12:09 PM,Wilmington Police,2600 BLOCK NORTHEAST BLVD,LARCENY/SHOPLIFTING
7,2-21-2022 10:52 AM,Wilmington Police,2200 BLOCK PINE ST,BURGLARY/NO FORCED ENTRY/RESIDENCE
